"TIME","y6","u"
3.006233433,1.0002,0
3.006255364,1.0002,0
3.006299227,1.0002,0
3.006386952,1.0002,0
3.0065095,1.0002,0
3.00650951,1.0002,5
3.00651205,1.0002,5
3.00655045,1.0002,5
3.007010507,1.0002,5
3.007011707,1.0002,5
3.007099378,1.0002,5
3.007810437,1.0002,5
3.007811705,1.0002,5
3.007822313,1.0002,5
3.008010467,1.0002,5
3.008011067,1.0002,5
3.008055393,1.0002,5
3.008713771,1.0002,5
3.008811067,1.0002,5
3.00881684,1.0002,5
3.009010447,1.0002,5
3.009010747,1.0002,5
3.00903262,1.0002,5
3.009348094,1.0002,5
3.009810747,1.0002,5
3.009814216,1.0002,5
3.010010438,1.0002,5
3.010010587,1.0002,5
3.010022117,1.0002,5
3.010180099,1.0002,5
3.010810587,1.0002,5
3.0108129,1.0002,5
3.010980076,1.0002,5
3.011010507,1.0002,5
3.011016855,1.0002,5
3.011095953,1.0002,5
3.011810507,1.0002,5
3.011811706,1.0002,5
3.011895934,1.0002,5
3.012010467,1.0002,5
3.012014219,1.0002,5
3.012053817,1.0002,5
3.012810467,1.0002,5
3.012811067,1.0002,5
3.012853805,1.0002,5
3.013010447,1.0002,5
3.013012898,1.0002,5
3.01303272,1.0002,5
3.013810447,1.0002,5
3.013810747,1.0002,5
3.013832713,1.0002,5
3.014010438,1.0002,5
3.014011707,1.0002,5
3.014022158,1.0002,5
3.014810438,1.0002,5
3.014810587,1.0002,5
3.014822153,1.0002,5
3.014980838,1.0002,5
3.015011067,1.0002,5
3.015016869,1.0002,5
3.015689551,1.0002,5
3.015810507,1.0002,5
3.015816867,1.0002,5
3.015896286,1.0002,5
3.016010747,1.0002,5
3.016014221,1.0002,5
3.016350879,1.0002,5
3.016810467,1.0002,5
3.01681422,1.0002,5
3.016853966,1.0002,5
3.017010587,1.0002,5
3.017012895,1.0002,5
3.017181374,1.0002,5
3.017810447,1.0002,5
3.017812895,1.0002,5
3.017832785,1.0002,5
3.018010507,1.0002,5
3.018011707,1.0002,5
3.018096541,1.0002,5
3.018810438,1.0002,5
3.018811706,1.0002,5
3.018822184,1.0002,5
3.019010467,1.0002,5
3.019011067,1.0002,5
3.019054086,1.0002,5
3.019691895,1.0002,5
3.019811067,1.0002,5
3.019816878,1.0002,5
3.020010447,1.0002,5
3.020010747,1.0002,5
3.02003284,1.0002,5
3.020351985,1.0002,5
3.020810747,1.0002,5
3.020814222,1.0002,5
3.021010437,1.0002,5
3.021010587,1.0002,5
3.021022208,1.0002,5
3.021181894,1.0002,5
3.021810587,1.0002,5
3.021812892,1.0002,5
3.021981814,1.0002,5
3.022010507,1.0002,5
3.022016887,1.0002,5
3.022096785,1.0002,5
3.022810507,1.0002,5
3.022811706,1.0002,5
3.022896744,1.0002,5
3.023010467,1.0002,5
3.023014224,1.0002,5
3.023054199,1.0002,5
3.023810467,1.0002,5
3.023811067,1.0002,5
3.023854179,1.0002,5
3.024010447,1.0002,5
3.024012891,1.0002,5
3.024032891,1.0002,5
3.024810447,1.0002,5
3.024810747,1.0002,5
3.024832881,1.0002,5
3.025010437,1.0002,5
3.025011707,1.0002,5
3.02502223,1.0002,5
3.025810438,1.0002,5
3.025810587,1.0002,5
3.025822225,1.0002,5
3.025982239,1.0002,5
3.026011067,1.0002,5
3.026016895,1.0002,5
3.026694991,1.0002,5
3.026810507,1.0002,5
3.026816893,1.0002,5
3.026896945,1.0002,5
3.027010747,1.0002,5
3.027014226,1.0002,5
3.027353455,1.0002,5
3.027810467,1.0002,5
3.027814225,1.0002,5
3.027854272,1.0002,5
3.028010587,1.0002,5
3.02801289,1.0002,5
3.028182591,1.0002,5
3.028810447,1.0002,5
3.028812889,1.0002,5
3.028832924,1.0002,5
3.029010507,1.0002,5
3.029011707,1.0002,5
3.029097113,1.0002,5
3.029810438,1.0002,5
3.029811706,1.0002,5
3.029822243,1.0002,5
3.030010467,1.0002,5
3.030011067,1.0002,5
3.030054352,1.0002,5
3.030696354,1.0002,5
3.030811067,1.0002,5
3.030816899,1.0002,5
3.031010447,1.0002,5
3.031010747,1.0002,5
3.03103296,1.0002,5
3.031354105,1.0002,5
3.031810747,1.0002,5
3.031814226,1.0002,5
3.032010437,1.0002,5
3.032010587,1.0002,5
3.032022259,1.0002,5
3.0321829,1.0002,5
3.032810587,1.0002,5
3.032812888,1.0002,5
3.032982827,1.0002,5
3.033010507,1.0002,5
3.033016906,1.0002,5
3.033097259,1.0002,5
3.033810507,1.0002,5
3.033811706,1.0002,5
3.033897224,1.0002,5
3.034010467,1.0002,5
3.034014228,1.0002,5
3.03405442,1.0002,5
3.034810467,1.0002,5
3.034811067,1.0002,5
3.034854403,1.0002,5
3.035010447,1.0002,5
3.035012888,1.0002,5
3.035032991,1.0002,5
3.035810447,1.0002,5
3.035810747,1.0002,5
3.035832983,1.0002,5
3.036010437,1.0002,5
3.036011707,1.0002,5
3.036022273,1.0002,5
3.036810437,1.0002,5
3.036810587,1.0002,5
3.036822269,1.0002,5
3.036983095,1.0002,5
3.037011067,1.0002,5
3.037016911,1.0002,5
3.037698242,1.0002,5
3.037810507,1.0002,5
3.037816909,1.0002,5
3.037897351,1.0002,5
3.038010747,1.0002,5
3.038014229,1.0002,5
3.038355008,1.0002,5
3.038810467,1.0002,5
3.038814228,1.0002,5
3.038854463,1.0002,5
3.039010587,1.0002,5
3.039012887,1.0002,5
3.039183331,1.0002,5
3.039810447,1.0002,5
3.039812886,1.0002,5
3.03983301,1.0002,5
3.040010507,1.0002,5
3.040011707,1.0002,5
3.040097463,1.0002,5
3.040810437,1.0002,5
3.040811706,1.0002,5
3.04082228,1.0002,5
3.041010467,1.0002,5
3.041011067,1.0002,5
3.041054516,1.0002,5
3.041699101,1.00021,5
3.041811067,1.00021,5
3.041816913,1.00021,5
3.042010447,1.00021,5
3.042010747,1.00021,5
3.042033035,1.00021,5
3.042355419,1.00021,5
3.042810747,1.00021,5
3.042814228,1.00021,5
3.043010438,1.00021,5
3.043010587,1.00021,5
3.043022291,1.00021,5
